row ID,RainTomorrow
Row0,0
Row1,0
Row2,0
Row3,0
Row4,1
Row6,0
Row7,0
Row8,0
Row9,0
Row10,0
Row11,0
Row12,0
Row13,0
Row14,0
Row15,0
Row16,0
Row17,1
Row18,0
Row19,0
Row20,0
Row21,0
Row22,0
Row23,0
Row24,0
Row25,0
Row26,0
Row27,0
Row28,0
Row29,0
Row30,0
Row31,0
Row32,0
Row33,0
Row34,0
Row35,0
Row36,0
Row37,0
Row38,0
Row39,0
Row40,0
Row41,0
Row42,0
Row43,0
Row44,0
Row45,0
Row46,0
Row47,0
Row48,0
Row49,1
Row50,1
Row51,1
Row52,0
Row53,0
Row54,0
Row55,0
Row56,0
Row57,0
Row58,0
Row59,0
Row60,0
Row61,1
Row62,0
Row63,0
Row64,0
Row65,0
Row66,0
Row67,0
Row68,1
Row69,1
Row70,1
Row71,0
Row72,1
Row73,1
Row74,0
Row75,0
Row76,0
Row77,1
Row78,1
Row79,1
Row80,1
Row81,0
Row82,0
Row83,0
Row84,0
Row85,0
Row86,0
Row87,0
Row88,0
Row89,0
Row90,0
Row91,0
Row92,0
Row93,0
Row94,0
Row95,0
Row96,1
Row97,1
Row98,0
Row99,0
Row100,0
Row101,0
Row102,0
Row103,0
Row104,0
Row105,1
Row106,0
Row107,0
Row108,0
Row109,0
Row110,0
Row111,0
Row112,0
Row113,0
Row114,0
Row115,0
Row116,0
Row117,1
Row118,0
Row119,0
Row120,0
Row121,0
Row122,1
Row124,0
Row125,0
Row126,0
Row127,0
Row128,0
Row129,1
Row130,0
Row131,0
Row132,1
Row133,0
Row134,0
Row135,0
Row136,0
Row137,0
Row138,0
Row139,0
Row140,0
Row141,1
Row142,0
Row143,1
Row144,0
Row145,0
Row146,0
Row147,0
Row148,0
Row149,0
Row150,0
Row151,0
Row152,0
Row153,0
Row154,0
Row155,0
Row156,0
Row157,0
Row158,0
Row159,0
Row160,0
Row161,0
Row162,0
Row163,0
Row164,1
Row165,0
Row166,1
Row167,1
Row168,1
Row169,1
Row170,0
Row171,1
Row172,1
Row173,0
Row174,0
Row175,0
Row176,0
Row177,0
Row178,0
Row179,0
Row180,0
Row181,0
Row182,0
Row183,0
Row184,0
Row185,0
Row186,0
Row187,0
Row188,0
Row189,1
Row190,0
Row191,0
Row192,1
Row193,1
Row194,0
Row195,0
Row196,0
Row197,0
Row198,1
Row199,0
Row200,0
Row201,0
Row202,0
Row203,0
Row204,1
Row205,0
Row206,0
Row207,0
Row208,0
Row209,0
Row210,0
Row211,0
Row212,0
Row213,1
Row214,0
Row215,0
Row216,1
Row217,0
Row218,0
Row219,0
Row220,0
Row221,1
Row222,0
Row223,1
Row224,1
Row225,0
Row226,0
Row227,0
Row228,0
Row229,1
Row230,0
Row231,1
Row232,0
Row233,0
Row234,0
Row235,0
Row236,1
Row237,1
Row238,0
Row239,0
Row240,0
Row241,0
Row242,0
Row243,0
Row244,1
Row245,1
Row246,0
Row247,0
Row248,1
Row249,0
Row250,0
Row251,0
Row252,0
Row253,0
Row254,0
Row258,0
Row259,0
Row260,0
Row261,1
Row262,1
Row263,0
Row264,1
Row265,0
Row266,0
Row267,0
Row268,0
Row269,0
Row270,0
Row271,1
Row272,0
Row273,0
Row274,1
Row275,0
Row276,0
Row277,0
Row278,0
Row279,0
Row280,1
Row281,0
Row282,1
Row283,0
Row284,0
Row285,0
Row286,0
Row287,0
Row288,0
Row289,0
Row290,0
Row291,0
Row292,0
Row293,0
Row294,0
Row295,0
Row296,0
Row297,0
Row298,0
Row299,0
Row300,0
Row301,0
Row302,0
Row303,0
Row304,0
Row305,0
Row306,0
Row307,1
Row308,1
Row309,0
Row310,0
Row311,0
Row312,0
Row313,0
Row314,0
Row315,0
Row316,0
Row317,0
Row318,0
Row319,0
Row320,0
Row321,0
Row322,0
Row323,1
Row324,0
Row325,0
Row326,0
Row327,0
Row328,0
Row329,0
Row330,0
Row331,1
Row332,1
Row333,0
Row334,0
Row335,0
Row336,0
Row337,0
Row338,1
Row339,1
Row340,1
Row341,0
Row342,1
Row343,1
Row344,1
Row345,1
Row346,0
Row347,0
Row348,0
Row349,1
Row350,0
Row351,0
Row352,0
Row353,0
Row354,0
Row355,0
Row356,1
Row357,0
Row358,0
Row359,0
Row360,0
Row361,0
Row362,0
Row363,1
Row364,0
Row365,0
Row366,0
Row367,0
Row368,1
Row369,0
Row370,0
Row371,1
Row372,1
Row373,0
Row374,0
Row376,0
Row377,1
Row378,0
Row379,0
Row380,0
Row381,0
Row382,0
Row383,0
Row384,0
Row385,0
Row386,0
Row387,0
Row388,0
Row389,0
Row390,0
Row391,0
Row392,0
Row393,0
Row394,0
Row395,0
Row396,0
Row397,0
Row398,0
Row399,0
Row400,0
Row401,0
Row402,0
Row403,0
Row404,0
Row405,0
Row406,0
Row407,0
Row408,0
Row409,0
Row410,0
Row411,0
Row412,0
Row413,0
Row414,0
Row415,0
Row416,0
Row417,0
Row418,0
Row419,0
Row420,0
Row421,0
Row422,0
Row423,0
Row424,0
Row426,0
Row427,1
Row428,1
Row429,0
Row430,0
Row431,0
Row432,0
Row433,0
Row434,1
Row435,1
Row436,1
Row437,0
Row438,1
Row439,0
Row440,0
Row441,0
Row442,0
Row443,0
Row444,0
Row445,0
Row446,0
Row447,1
Row448,0
Row449,0
Row450,0
Row451,1
Row452,1
Row453,1
Row454,1
Row455,0
Row456,0
Row457,1
Row458,1
Row459,1
Row460,0
Row461,1
Row462,1
Row463,1
Row464,1
Row465,0
Row466,0
Row467,0
Row468,1
Row469,0
Row470,0
Row471,0
Row472,0
Row473,0
Row474,0
Row475,0
Row476,0
Row477,0
Row478,0
Row479,0
Row480,0
Row481,0
Row482,0
Row483,0
Row484,0
Row485,1
Row486,0
Row487,0
Row488,0
Row489,0
Row490,0
Row491,0
Row492,0
Row493,0
Row494,1
Row495,0
Row496,0
Row497,0
Row498,0
Row499,0
Row500,0
Row501,0
Row502,0
Row503,0
Row504,0
Row505,0
Row506,0
Row507,0
Row508,0
Row509,0
Row510,0
Row511,0
Row512,1
Row513,0
Row514,0
Row515,0
Row516,0
Row517,0
Row518,0
Row519,0
Row520,0
Row521,0
Row522,0
Row523,0
Row524,0
Row525,1
Row526,0
Row527,0
Row528,0
Row529,0
Row530,0
Row531,0
Row532,0
Row533,0
Row534,0
Row535,0
Row536,0
Row537,0
Row538,0
Row539,1
Row540,1
Row541,0
Row542,0
Row543,0
Row544,0
Row545,0
Row546,0
Row547,0
Row548,0
Row549,0
Row550,0
Row551,0
Row552,0
Row553,0
Row554,0
Row555,0
Row556,1
Row558,0
Row559,0
Row560,0
Row561,0
Row562,1
Row563,1
Row564,1
Row565,1
Row566,1
Row567,1
Row568,0
Row569,0
Row570,0
Row571,0
Row572,1
Row573,0
Row574,0
Row575,0
Row576,0
Row577,0
Row578,0
Row579,0
Row580,0
Row581,0
Row582,0
Row583,0
Row584,1
Row585,0
Row586,0
Row587,0
Row588,0
Row589,1
Row590,0
Row591,0
Row592,1
Row593,0
Row594,0
Row595,0
Row596,0
Row597,0
Row598,0
Row599,0
Row600,0
Row601,0
Row602,0
Row603,0
Row604,0
Row605,0
Row606,0
